movieId,userId,rating,timestamp
1,1,4.0,964982703
1,5,4.0,847434962
1,7,4.5,1106635946
1,15,2.5,1510577970
1,17,4.5,1305696483
1,18,3.5,1455209816
1,19,4.0,965705637
1,21,3.5,1407618878
1,27,3.0,962685262
1,31,5.0,850466616
1,32,3.0,856736119
1,33,3.0,939647444
1,40,5.0,832058959
1,43,5.0,848993983
1,44,3.0,869251860
1,45,4.0,951170182
1,46,5.0,834787906
1,50,3.0,1514238116
1,54,3.0,830247330
1,57,5.0,965796031
1,63,5.0,1443199669
1,64,4.0,1161520134
1,66,4.0,1104643957
1,68,2.5,1158531426
1,71,5.0,864737933
1,73,4.5,1464196374
1,76,0.5,1439165548
1,78,4.0,1252575124
1,82,2.5,1084467729
1,86,4.0,1344082549
1,89,3.0,1520408314
1,90,3.0,856353996
1,91,4.0,1112713037
1,93,3.0,942767337
1,96,5.0,964772990
1,98,4.5,1532457849
1,103,4.0,1431954238
1,107,4.0,829322340
1,112,3.0,1442535639
1,119,3.5,1435942468
1,121,4.0,847656180
1,124,4.0,1336584336
1,130,3.0,832589610
1,132,2.0,1157921785
1,134,3.0,832841103
1,135,4.0,1009691859
1,137,4.0,1204859907
1,140,3.0,942924980
1,141,4.0,1513130643
1,144,3.5,1137323419
1,145,5.0,832105242
1,151,5.0,855947195
1,153,2.0,1525548642
1,155,3.0,961861723
1,156,4.0,1106854640
1,159,4.5,1508640172
1,160,4.0,971115026
1,161,4.0,1176751765
1,166,5.0,1189980529
1,167,3.5,1154721923
1,169,4.5,1059427918
1,171,5.0,866904159
1,177,5.0,1435533535
1,178,4.0,1164354911
1,179,4.0,852114051
1,182,4.0,1063289621
1,185,4.0,1044311830
1,186,4.0,1031080831
1,191,4.0,829759809
1,193,2.0,1435856890
1,200,3.5,1229886312
1,201,5.0,939801780
1,202,4.0,974923506
1,206,5.0,850763267
1,213,3.5,1316196157
1,214,3.0,853937855
1,216,3.0,975211713
1,217,4.0,955942540
1,219,3.5,1194681084
1,220,5.0,1230055565
1,223,3.5,1226209758
1,226,3.5,1095662606
1,229,5.0,838144316
1,232,3.5,1076955621
1,233,3.0,1524781249
1,234,5.0,1004409347
1,239,4.0,1221158265
1,240,5.0,849122434
1,247,5.0,1467644119
1,249,4.0,1347317775
1,252,4.5,1498284904
1,254,4.5,1180446553
1,263,4.0,940384199
1,264,4.0,1136978964
1,266,2.0,945669542
1,269,5.0,850865423
1,270,5.0,853918728
1,273,5.0,835861234
1,274,4.0,1171410158
